,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Georgetown,20,GY,1540677600,78,6.8,-58.16,82.4,9.17
1,Bubaque,0,GW,1540677600,88,11.28,-15.83,82.4,3.36
2,Bredasdorp,56,ZA,1540677600,88,-34.53,20.04,66.2,13.87
3,Blagoyevo,88,RU,1540681471,92,63.37,47.92,31.11,3.51
4,Zarautz,40,ES,1540679400,93,43.28,-2.17,44.6,5.82
5,Montepuez,0,MZ,1540681587,71,-13.13,39.0,69.36,7.31
6,New Norfolk,75,AU,1540679400,43,-42.78,147.06,51.8,9.17
7,Hobart,75,AU,1540679400,43,-42.88,147.33,51.8,9.17
8,Ushuaia,40,AR,1540677600,76,-54.81,-68.31,50.0,16.11
9,Waingapu,12,ID,1540681592,86,-9.65,120.26,78.45,4.18
10,Cape Town,0,ZA,1540677600,93,-33.93,18.42,60.8,3.36
11,Ilulissat,12,GL,1540680600,86,69.22,-51.1,30.2,9.17
12,Nishihara,75,JP,1540680960,67,35.74,139.53,62.6,5.82
13,Atuona,80,PF,1540681597,100,-9.8,-139.03,80.16,19.95
14,Punta Arenas,75,CL,1540677600,53,-53.16,-70.91,51.8,14.99
15,Aleksandrov Gay,20,RU,1540681600,88,50.14,48.57,27.55,3.29
16,Yellowknife,90,CA,1540678800,93,62.45,-114.38,32.0,10.29
17,Qaanaaq,0,GL,1540681602,100,77.48,-69.36,-8.18,10.0
18,Busselton,0,AU,1540681604,100,-33.64,115.35,59.14,10.78
19,Tecoanapa,75,MX,1540676880,70,16.99,-99.26,86.0,6.93
20,Honiara,20,SB,1540677600,74,-9.43,159.96,86.0,4.7
21,Vaini,0,IN,1540681608,54,15.34,74.49,66.57,6.08
22,Makakilo City,1,US,1540677420,54,21.35,-158.09,86.0,6.93
23,Berdigestyakh,0,RU,1540681389,73,62.1,126.7,8.25,2.62
24,Sabzevar,92,IR,1540681611,62,36.21,57.68,53.97,7.54
25,Sao Felix do Xingu,12,BR,1540681612,87,-6.64,-51.99,79.93,1.28
26,Peshkopi,40,AL,1540678800,87,41.68,20.43,59.0,4.7
27,Bam,20,IR,1540681615,80,29.11,58.36,56.53,3.62
28,Naryan-Mar,24,RU,1540681557,91,67.67,53.09,25.17,11.01
29,Albany,90,US,1540680900,86,42.65,-73.75,44.6,11.41
30,Nikolskoye,75,RU,1540679400,96,59.7,30.79,35.6,15.66
31,Victoria,75,BN,1540679400,94,5.28,115.24,78.8,2.84
32,Houma,0,CN,1540681622,55,35.63,111.36,38.62,4.52
33,Aksarka,92,RU,1540681623,91,66.56,67.8,24.94,8.55
34,Bluff,0,AU,1540681624,45,-23.58,149.07,89.61,5.19
35,Tasiilaq,92,GL,1540680600,97,65.61,-37.64,33.8,35.57
36,Ostrovnoy,88,RU,1540681627,92,68.05,39.51,27.1,11.23
37,Lata,0,IN,1540681628,69,30.78,78.62,40.78,2.84
38,Gao,0,ML,1540681629,37,16.28,-0.04,71.74,6.76
39,Castro,92,CL,1540681631,98,-42.48,-73.76,52.84,6.42
40,Kavieng,48,PG,1540681632,100,-2.57,150.8,82.54,4.63
41,Mgandu,24,TZ,1540681633,73,-5.96,34.11,64.77,10.0
42,Nantucket,90,US,1540680240,100,41.28,-70.1,60.8,10.29
43,Rikitea,32,PF,1540681636,100,-23.12,-134.97,73.18,14.7
44,Thompson,90,CA,1540678140,98,55.74,-97.86,32.0,5.82
45,Waipawa,64,NZ,1540681638,79,-39.94,176.59,63.78,5.19
46,Port Blair,12,IN,1540681640,100,11.67,92.75,84.07,14.03
47,Puerto Ayora,0,EC,1540677600,57,-0.74,-90.35,78.8,14.99
48,Brae,68,GB,1540680600,75,60.4,-1.35,42.8,11.41
49,Klaksvik,88,FO,1540680600,100,62.23,-6.59,35.6,6.93
50,Mataura,88,NZ,1540681645,97,-46.19,168.86,52.26,5.75
51,Dwarka,0,IN,1540679400,77,28.58,77.04,66.2,3.18
52,Carnarvon,0,ZA,1540681648,25,-30.97,22.13,57.12,2.17
53,Cidreira,92,BR,1540681649,92,-30.17,-50.22,63.28,13.24
54,Marsh Harbour,76,BS,1540681650,100,26.54,-77.06,80.65,5.64
55,Hilo,1,US,1540677360,69,19.71,-155.08,82.4,9.17
56,Springbok,20,ZA,1540681652,26,-29.67,17.88,65.17,4.18
57,Chokurdakh,88,RU,1540681654,88,70.62,147.9,8.7,7.43
58,Los Llanos de Aridane,68,ES,1540679400,77,28.66,-17.92,69.8,10.29
59,Kapit,92,MY,1540681656,97,2.02,112.94,74.62,2.84
60,Guerrero Negro,0,MX,1540681658,41,27.97,-114.04,81.87,11.45
61,Narsaq,88,GL,1540680600,86,60.91,-46.05,33.8,6.93
62,Jamestown,92,AU,1540681660,100,-33.21,138.6,54.28,3.85
63,Port Macquarie,75,AU,1540677600,68,-31.43,152.91,68.0,17.22
64,Cuamba,0,MZ,1540681663,89,-14.8,36.54,61.84,8.77
65,Manzanillo,64,CU,1540681638,98,20.34,-77.12,84.66,7.76
66,Kargopol,36,RU,1540681665,75,61.51,38.95,22.24,4.63
67,Avarua,90,CK,1540677600,94,-21.21,-159.78,73.4,11.41
68,Butaritari,12,KI,1540681668,100,3.07,172.79,85.65,11.34
69,Esperance,20,TT,1540677600,74,10.24,-61.45,82.4,6.93
70,Hofn,92,IS,1540681593,100,64.25,-15.21,38.89,19.84
71,Rawson,0,AR,1540681671,48,-43.3,-65.11,60.94,3.18
72,Nome,1,US,1540680900,50,30.04,-94.42,77.0,4.7
73,Katsuura,75,JP,1540677600,76,33.93,134.5,55.4,3.36
74,Whyalla,90,AU,1540677600,93,-33.04,137.58,59.0,3.36
75,Batagay-Alyta,8,RU,1540681677,27,67.8,130.41,-20.11,2.62
76,Kapaa,75,US,1540677360,69,22.08,-159.32,84.2,13.87
77,Codrington,48,AU,1540681679,63,-28.95,153.24,73.54,6.2
78,Santa Isabel,75,CO,1540677600,88,4.71,-75.1,75.2,3.36
79,Fortuna,20,ES,1540679400,71,38.18,-1.13,60.8,10.29
80,Ossora,12,RU,1540681684,100,59.24,163.07,37.77,5.64
81,Ambatofinandrahana,48,MG,1540681685,97,-20.55,46.8,52.98,2.39
82,Kultuk,0,RU,1540681686,74,51.73,103.71,24.94,0.38
83,Roald,0,NO,1540680600,80,62.58,6.12,35.6,12.75
